id,text,username,created_at,hashtags
1941034665525366892,"#PETRO 
also going 10%

aaj ho kya raha PF mai 😃😃

#stockstowatch #btst #charts #chartoftheweek #chartpattern #INTRADAY #StocksToBuy #stockmarketnews #StockMarketUpdate #stockmarketsindia",BreakoutStockks,2025-07-04 07:21:41+00:00,"['PETRO', 'stockstowatch', 'btst', 'charts', 'chartoftheweek', 'chartpattern', 'INTRADAY', 'StocksToBuy', 'stockmarketnews', 'StockMarketUpdate', 'stockmarketsindia']"
1941031917203476727,"#PAPER 10%
400 paar
ab sab logon ke chart par aa jayega 🤣🤣

#stockstowatch #btst #charts #chartoftheweek #chartpattern #INTRADAY #StocksToBuy #stockmarketnews #StockMarketUpdate #stockmarketsindia https://t.co/bTWnvTuieo",BreakoutStockks,2025-07-04 07:10:46+00:00,"['PAPER', 'stockstowatch', 'btst', 'charts', 'chartoftheweek', 'chartpattern', 'INTRADAY', 'StocksToBuy', 'stockmarketnews', 'StockMarketUpdate', 'stockmarketsindia']"
1941019626575745427,"#PETRO TWINS 
ho kya raha aaj 😊😊

#stockstowatch #btst #charts #chartoftheweek #chartpattern #INTRADAY #StocksToBuy #stockmarketnews #StockMarketUpdate #stockmarketsindia https://t.co/wxRcioGiru",BreakoutStockks,2025-07-04 06:21:56+00:00,"['PETRO', 'stockstowatch', 'btst', 'charts', 'chartoftheweek', 'chartpattern', 'INTRADAY', 'StocksToBuy', 'stockmarketnews', 'StockMarketUpdate', 'stockmarketsindia']"
1941019305124286644,"#AUROPHARMA🚨 Trade Plan:
Entry 🟢 ₹1170–₹1182
Intraday 🎯 ₹1200
BTST 💹 ₹1215
Swing 🚀 ₹1300
SL 🔻 ₹1145
SMC Setup: CHoCH ✅ | Volume Spike 📈 | OB Reclaim 🔁
#SMC #BTST #SwingTrading #PriceAction #NSEStocks #SmartMoney https://t.co/jZVDLPejMz",kavismarttrader,2025-07-04 06:20:39+00:00,"['AUROPHARMA', 'SMC', 'BTST', 'SwingTrading', 'PriceAction', 'NSEStocks', 'SmartMoney']"
1941017854914318755,"RT @DilipSharma31: #FEDERALBANK
“If this moons, thank the market. If it dumps, remember: DYOR.”
#BTST https://t.co/J6skusmshJ",Kishoriradhe,2025-07-04 06:14:53+00:00,"['FEDERALBANK', 'BTST']"
1941017242956976520,"#BPCL🚨 Trade Plan:
Intraday 🎯 ₹342.8
BTST 📈 ₹345
Swing 🚀 ₹355
Entry: ₹336–338 | SL: ₹331.5
BOS ✅ + OB Retest + Volume Spike = SMC Bullish Setup
#SmartMoneyConcept #BTST #SwingTrade #Intraday #PriceAction #NSE https://t.co/kMaU7aQu82",kavismarttrader,2025-07-04 06:12:27+00:00,"['BPCL', 'SmartMoneyConcept', 'BTST', 'SwingTrade', 'Intraday', 'PriceAction', 'NSE']"
1941014164778172875,"🚨 $ABFRL SMC Trade Plan 🚨 LONG TERM  IS GOOD 
📍 CHoCH + OB Retest + Liquidity Sweep
📈 Intraday: 77.5→79.5 | SL 75.9
⚡ BTST: 78→81.5 | SL 75.8
📊 Swing: 77→85+ | SL 74.5
🎯 RR up to 1:3 w/ Volume Spike
#SMC #BTST #SwingTrade #ABFRL #PriceAction https://t.co/sYKqe75JZS",kavismarttrader,2025-07-04 06:00:13+00:00,"['SMC', 'BTST', 'SwingTrade', 'ABFRL', 'PriceAction']"
1941011861048381706,"#PETRO TWINS 
fati gaye re yeh to 

jis jis ke pas, just enjoy

#stockstowatch #btst #charts #chartoftheweek #chartpattern #INTRADAY #StocksToBuy #stockmarketnews #StockMarketUpdate #stockmarketsindia https://t.co/wxRcioGiru",BreakoutStockks,2025-07-04 05:51:04+00:00,"['PETRO', 'stockstowatch', 'btst', 'charts', 'chartoftheweek', 'chartpattern', 'INTRADAY', 'StocksToBuy', 'stockmarketnews', 'StockMarketUpdate', 'stockmarketsindia']"
1941010092864032984,"🚀 #JKPAPER 1H SMC Breakout Alert:
✅ CHoCH → BOS above ₹375
📈 Volume Surge = Smart Money Entry
BTST 🎯 ₹410 | Swing 💡 ₹440
Reclaim zone: ₹375–₹380
#SmartMoneyConcept #BTST #JKPAPER #BreakoutStocks #NSE https://t.co/oTGeD0jhkV",kavismarttrader,2025-07-04 05:44:03+00:00,"['JKPAPER', 'SmartMoneyConcept', 'BTST', 'JKPAPER', 'BreakoutStocks', 'NSE']"
1941009488250916913,"🚀 #METROPOLIS 1H SMC Update:
✅ CHoCH → BOS confirmed
📈 Breakout @ ₹1779 with rising volume
BTST 🎯 ₹1810 | Swing 📌 ₹1850
Watch ₹1725–₹1740 OB zone for pullback entry
#SMC #BTST #SwingTrade #Metropolis #NSEStocks https://t.co/8rb4A4rH6V",kavismarttrader,2025-07-04 05:41:38+00:00,"['METROPOLIS', 'SMC', 'BTST', 'SwingTrade', 'Metropolis', 'NSEStocks']"
